size,hash+algorithm,total time,speed(mb/s)
50,SHA-256--AES,5.678,25
50,SHA-256--Camellia,5.742,25
50,SHA-256--Kuznyechik,5.913,25
50,SHA-256--Serpent,5.601,25
50,SHA-256--Twofish,5.433,25
50,SHA-256--AES-Twofish,5.5,25
50,SHA-256--AES-Twofish-Serpent,5.507,25
50,SHA-256--Camellia-Kuznyechik,5.618,25
50,SHA-256--Camellia-Serpent,5.503,25
50,SHA-256--Kuznyechik-AES,5.526,25
50,SHA-256--Kuznyechik-Serpent-Camellia,5.606,25
50,SHA-256--Kuznyechik-Twofish,5.528,25
50,SHA-256--Serpent-AES,5.515,25
50,SHA-256--Serpent-Twofish-AES,5.51,25
50,SHA-256--Twofish-Serpent,5.427,25
50,RIPEMD-160--AES,9.644,25
50,RIPEMD-160--Camellia,9.669,25
50,RIPEMD-160--Kuznyechik,9.786,25
50,RIPEMD-160--Serpent,10.347,25
50,RIPEMD-160--Twofish,9.926,25
50,RIPEMD-160--AES-Twofish,9.754,25
50,RIPEMD-160--AES-Twofish-Serpent,10.023,25
50,RIPEMD-160--Camellia-Kuznyechik,10.29,25
50,RIPEMD-160--Camellia-Serpent,9.693,25
50,RIPEMD-160--Kuznyechik-AES,10.432,25
50,RIPEMD-160--Kuznyechik-Serpent-Camellia,10.173,25
50,RIPEMD-160--Kuznyechik-Twofish,9.963,25
50,RIPEMD-160--Serpent-AES,10.188,25
50,RIPEMD-160--Serpent-Twofish-AES,9.939,25
50,RIPEMD-160--Twofish-Serpent,10.315,25
50,SHA-512--AES,4.007,25
50,SHA-512--Camellia,4.172,25
50,SHA-512--Kuznyechik,4.297,25
50,SHA-512--Serpent,4.14,25
50,SHA-512--Twofish,4.018,25
50,SHA-512--AES-Twofish,4.136,25
50,SHA-512--AES-Twofish-Serpent,4.348,25
50,SHA-512--Camellia-Kuznyechik,4.286,25
50,SHA-512--Camellia-Serpent,4.16,25
50,SHA-512--Kuznyechik-AES,4.263,25
50,SHA-512--Kuznyechik-Serpent-Camellia,4.226,25
50,SHA-512--Kuznyechik-Twofish,4.365,25
50,SHA-512--Serpent-AES,4.166,25
50,SHA-512--Serpent-Twofish-AES,4.297,25
50,SHA-512--Twofish-Serpent,4.97,25
50,Whirlpool--AES,7.379,25
50,Whirlpool--Camellia,7.135,25
50,Whirlpool--Kuznyechik,6.734,25
50,Whirlpool--Serpent,6.745,25
50,Whirlpool--Twofish,6.544,25
50,Whirlpool--AES-Twofish,6.966,25
50,Whirlpool--AES-Twofish-Serpent,6.606,25
50,Whirlpool--Camellia-Kuznyechik,6.672,25
50,Whirlpool--Camellia-Serpent,6.678,25
50,Whirlpool--Kuznyechik-AES,6.592,25
50,Whirlpool--Kuznyechik-Serpent-Camellia,6.804,25
50,Whirlpool--Kuznyechik-Twofish,6.664,25
50,Whirlpool--Serpent-AES,6.56,25
50,Whirlpool--Serpent-Twofish-AES,6.678,25
50,Whirlpool--Twofish-Serpent,6.84,25
50,Streebog--AES,22.533,25
50,Streebog--Camellia,22.262,25
50,Streebog--Kuznyechik,22.79,25
50,Streebog--Serpent,22.255,25
50,Streebog--Twofish,22.504,25
50,Streebog--AES-Twofish,22.272,25
50,Streebog--AES-Twofish-Serpent,22.259,25
50,Streebog--Camellia-Kuznyechik,26.768,25
50,Streebog--Camellia-Serpent,26.113,25
50,Streebog--Kuznyechik-AES,24.25,25
50,Streebog--Kuznyechik-Serpent-Camellia,24.989,25
50,Streebog--Kuznyechik-Twofish,26.329,25
50,Streebog--Serpent-AES,27.007,25
50,Streebog--Serpent-Twofish-AES,26.439,25
50,Streebog--Twofish-Serpent,25.686,25
100,SHA-256--AES,7.23,75
100,SHA-256--Camellia,7.884,75
100,SHA-256--Kuznyechik,7.476,75
100,SHA-256--Serpent,7.104,75
100,SHA-256--Twofish,7.146,75
100,SHA-256--AES-Twofish,6.849,75
100,SHA-256--AES-Twofish-Serpent,7.216,75
100,SHA-256--Camellia-Kuznyechik,7.132,75
100,SHA-256--Camellia-Serpent,7.462,75
100,SHA-256--Kuznyechik-AES,7.702,75
100,SHA-256--Kuznyechik-Serpent-Camellia,7.827,75
100,SHA-256--Kuznyechik-Twofish,7.742,75
100,SHA-256--Serpent-AES,7.347,75
100,SHA-256--Serpent-Twofish-AES,7.667,75
100,SHA-256--Twofish-Serpent,6.894,75
100,RIPEMD-160--AES,11.129,75
100,RIPEMD-160--Camellia,12.151,75
100,RIPEMD-160--Kuznyechik,11.481,75
100,RIPEMD-160--Serpent,10.916,75
100,RIPEMD-160--Twofish,11.077,75
100,RIPEMD-160--AES-Twofish,11.053,75
100,RIPEMD-160--AES-Twofish-Serpent,11.906,75
100,RIPEMD-160--Camellia-Kuznyechik,12.063,75
100,RIPEMD-160--Camellia-Serpent,11.68,75
100,RIPEMD-160--Kuznyechik-AES,11.951,75
100,RIPEMD-160--Kuznyechik-Serpent-Camellia,13.668,75
100,RIPEMD-160--Kuznyechik-Twofish,11.454,75
100,RIPEMD-160--Serpent-AES,11.289,75
100,RIPEMD-160--Serpent-Twofish-AES,11.266,75
100,RIPEMD-160--Twofish-Serpent,11.768,75
100,SHA-512--AES,5.384,75
100,SHA-512--Camellia,5.504,75
