-----------------------------------------------------------------------------------------------------------------------
- Bench VeraCrypt
- Started at: 2022-11-08  8:49:35
- CPU: AMD FX(tm)-6300 Six-Core Processor
-----------------------------------------------------------------------------------------------------------------------
SIZE       | HASH       | ENCRYPTION ALGORITHM           | VOL CREATE TIME      | VOL FILL TIME        | SPEED (MB/sec)
-----------------------------------------------------------------------------------------------------------------------
50 MB      | SHA-256    | AES                            |  0m5.494s            |  0m0.184s            | 25
50 MB      | SHA-256    | Camellia                       |  0m5.535s            |  0m0.207s            | 25
50 MB      | SHA-256    | Kuznyechik                     |  0m5.742s            |  0m0.171s            | 25
50 MB      | SHA-256    | Serpent                        |  0m5.432s            |  0m0.169s            | 25
50 MB      | SHA-256    | Twofish                        |  0m5.261s            |  0m0.172s            | 25
50 MB      | SHA-256    | AES-Twofish                    |  0m5.330s            |  0m0.170s            | 25
50 MB      | SHA-256    | AES-Twofish-Serpent            |  0m5.335s            |  0m0.172s            | 25
50 MB      | SHA-256    | Camellia-Kuznyechik            |  0m5.442s            |  0m0.176s            | 25
50 MB      | SHA-256    | Camellia-Serpent               |  0m5.332s            |  0m0.171s            | 25
50 MB      | SHA-256    | Kuznyechik-AES                 |  0m5.353s            |  0m0.173s            | 25
50 MB      | SHA-256    | Kuznyechik-Serpent-Camellia    |  0m5.431s            |  0m0.175s            | 25
50 MB      | SHA-256    | Kuznyechik-Twofish             |  0m5.341s            |  0m0.187s            | 25
50 MB      | SHA-256    | Serpent-AES                    |  0m5.342s            |  0m0.173s            | 25
50 MB      | SHA-256    | Serpent-Twofish-AES            |  0m5.328s            |  0m0.182s            | 25
50 MB      | SHA-256    | Twofish-Serpent                |  0m5.253s            |  0m0.174s            | 25
50 MB      | RIPEMD-160 | AES                            |  0m9.458s            |  0m0.186s            | 25
50 MB      | RIPEMD-160 | Camellia                       |  0m9.490s            |  0m0.179s            | 25
50 MB      | RIPEMD-160 | Kuznyechik                     |  0m9.603s            |  0m0.183s            | 25
50 MB      | RIPEMD-160 | Serpent                        |  0m10.168s           |  0m0.179s            | 25
50 MB      | RIPEMD-160 | Twofish                        |  0m9.744s            |  0m0.182s            | 25
50 MB      | RIPEMD-160 | AES-Twofish                    |  0m9.578s            |  0m0.176s            | 25
50 MB      | RIPEMD-160 | AES-Twofish-Serpent            |  0m9.828s            |  0m0.195s            | 25
50 MB      | RIPEMD-160 | Camellia-Kuznyechik            |  0m10.103s           |  0m0.187s            | 25
50 MB      | RIPEMD-160 | Camellia-Serpent               |  0m9.516s            |  0m0.177s            | 25
50 MB      | RIPEMD-160 | Kuznyechik-AES                 |  0m10.258s           |  0m0.174s            | 25
50 MB      | RIPEMD-160 | Kuznyechik-Serpent-Camellia    |  0m9.999s            |  0m0.174s            | 25
50 MB      | RIPEMD-160 | Kuznyechik-Twofish             |  0m9.792s            |  0m0.171s            | 25
50 MB      | RIPEMD-160 | Serpent-AES                    |  0m9.994s            |  0m0.194s            | 25
50 MB      | RIPEMD-160 | Serpent-Twofish-AES            |  0m9.769s            |  0m0.170s            | 25
50 MB      | RIPEMD-160 | Twofish-Serpent                |  0m10.126s           |  0m0.189s            | 25
50 MB      | SHA-512    | AES                            |  0m3.832s            |  0m0.175s            | 25
50 MB      | SHA-512    | Camellia                       |  0m3.991s            |  0m0.181s            | 25
50 MB      | SHA-512    | Kuznyechik                     |  0m4.114s            |  0m0.183s            | 25
50 MB      | SHA-512    | Serpent                        |  0m3.946s            |  0m0.194s            | 25
50 MB      | SHA-512    | Twofish                        |  0m3.845s            |  0m0.173s            | 25
50 MB      | SHA-512    | AES-Twofish                    |  0m3.962s            |  0m0.174s            | 25
50 MB      | SHA-512    | AES-Twofish-Serpent            |  0m4.177s            |  0m0.171s            | 25
50 MB      | SHA-512    | Camellia-Kuznyechik            |  0m4.104s            |  0m0.182s            | 25
50 MB      | SHA-512    | Camellia-Serpent               |  0m3.989s            |  0m0.171s            | 25
50 MB      | SHA-512    | Kuznyechik-AES                 |  0m4.087s            |  0m0.176s            | 25
50 MB      | SHA-512    | Kuznyechik-Serpent-Camellia    |  0m4.056s            |  0m0.170s            | 25
50 MB      | SHA-512    | Kuznyechik-Twofish             |  0m4.193s            |  0m0.172s            | 25
50 MB      | SHA-512    | Serpent-AES                    |  0m3.994s            |  0m0.172s            | 25
50 MB      | SHA-512    | Serpent-Twofish-AES            |  0m4.106s            |  0m0.191s            | 25
50 MB      | SHA-512    | Twofish-Serpent                |  0m4.745s            |  0m0.225s            | 25
50 MB      | Whirlpool  | AES                            |  0m7.155s            |  0m0.224s            | 25
50 MB      | Whirlpool  | Camellia                       |  0m6.960s            |  0m0.175s            | 25
50 MB      | Whirlpool  | Kuznyechik                     |  0m6.532s            |  0m0.202s            | 25
50 MB      | Whirlpool  | Serpent                        |  0m6.569s            |  0m0.176s            | 25
50 MB      | Whirlpool  | Twofish                        |  0m6.369s            |  0m0.175s            | 25
50 MB      | Whirlpool  | AES-Twofish                    |  0m6.791s            |  0m0.175s            | 25
50 MB      | Whirlpool  | AES-Twofish-Serpent            |  0m6.429s            |  0m0.177s            | 25
50 MB      | Whirlpool  | Camellia-Kuznyechik            |  0m6.487s            |  0m0.185s            | 25
50 MB      | Whirlpool  | Camellia-Serpent               |  0m6.502s            |  0m0.176s            | 25
50 MB      | Whirlpool  | Kuznyechik-AES                 |  0m6.418s            |  0m0.174s            | 25
50 MB      | Whirlpool  | Kuznyechik-Serpent-Camellia    |  0m6.628s            |  0m0.176s            | 25
50 MB      | Whirlpool  | Kuznyechik-Twofish             |  0m6.487s            |  0m0.177s            | 25
50 MB      | Whirlpool  | Serpent-AES                    |  0m6.384s            |  0m0.176s            | 25
50 MB      | Whirlpool  | Serpent-Twofish-AES            |  0m6.508s            |  0m0.170s            | 25
50 MB      | Whirlpool  | Twofish-Serpent                |  0m6.660s            |  0m0.180s            | 25
50 MB      | Streebog   | AES                            |  0m22.362s           |  0m0.171s            | 25
50 MB      | Streebog   | Camellia                       |  0m22.088s           |  0m0.174s            | 25
50 MB      | Streebog   | Kuznyechik                     |  0m22.613s           |  0m0.177s            | 25
50 MB      | Streebog   | Serpent                        |  0m22.081s           |  0m0.174s            | 25
